,image_number,image_path,negative_threshold,positive_threshold
171,192,data\images\192.png,0.8485477689949201,1.0922866310386556
40,44,data\images\img44.jpg,0.7970095796189561,1.127008835499471
228,254,data\images\254.png,0.7992202561626685,1.1206797069998922
54,61,data\images\img61.jpg,0.8875209980696626,1.1056513521425386
186,208,data\images\208.png,0.8002072543192827,1.0919920185717225
135,153,data\images\img153.jpg,0.7929833457988072,1.155964696621374
160,181,data\images\181.png,0.8444489172528103,1.1845838286471613
124,141,data\images\img141.jpg,0.8089285331149133,1.2917048262085682
119,135,data\images\img135.jpg,0.7958870406805804,1.1223408270993545
36,40,data\images\img40.jpg,0.8864036540875286,1.3071105380798131
58,67,data\images\img67.jpg,0.8894670707860594,1.6963091400247077
195,219,data\images\219.png,0.7883562990969971,1.2577618195226232
95,108,data\images\img108.jpg,0.8264675750104756,1.1085801749531905
37,41,data\images\img41.jpg,0.9105151234785532,1.0443904040163634
53,60,data\images\img60.jpg,0.9127951243466867,1.0489986276958403
129,147,data\images\img147.jpg,0.6666452602828867,1.3965733176413793
74,83,data\images\img83.jpg,0.6227331915030013,1.5116177424142596
291,319,data\images\319.png,0.8421796964126531,1.2927114988648178
253,280,data\images\280.png,0.6589782745052994,1.3924504072319916
155,175,data\images\175.png,0.8622610067518717,1.1918102703977416
217,242,data\images\242.png,0.8841768304657487,1.0514268868541563
287,315,data\images\315.png,0.9125324217489628,1.033337549446182
141,159,data\images\img159.jpg,0.8913285443801732,1.1551512598445015
209,234,data\images\234.png,0.8664526764622751,1.0984743424900345
96,110,data\images\img110.jpg,0.9009559187642372,1.1457929717000943
234,260,data\images\260.png,0.9298307272265774,1.0526367060093171
218,243,data\images\243.png,0.8103661087550039,1.1654753545905587
279,306,data\images\306.png,0.806282271789567,1.254815593875533
132,150,data\images\img150.jpg,0.8842572174912738,1.1328679675666102
275,302,data\images\302.png,0.8820528567795455,1.1981625754219924
42,49,data\images\img49.jpg,0.8641827716212225,1.0638340536439568
17,19,data\images\img19.jpg,0.8264966210373074,1.2731129071874503
6,8,data\images\img8.jpg,0.8971950668033509,1.0913237412694268
108,123,data\images\img123.jpg,0.866994252713613,1.126881867973687
30,32,data\images\img32.jpg,0.8497916585547578,1.2135260376755168
260,287,data\images\287.png,0.8718353704132731,1.2043815441602832
130,148,data\images\img148.jpg,0.8882709407305088,1.226087238219522
150,170,data\images\170.png,0.7194556627249538,1.176888530738912
201,225,data\images\225.png,0.536482125783783,1.4753143100661046
255,282,data\images\282.png,0.7749963434672524,1.1978323795114516
199,223,data\images\223.png,0.8566407906162299,1.052402097046609
161,182,data\images\182.png,0.9144835096176248,1.0985309194194652
19,21,data\images\img21.jpg,0.8314269041248784,1.1183167260575737
103,118,data\images\img118.jpg,0.7197065514839226,1.3177817740695104
266,293,data\images\293.png,0.8599332667555011,1.2495672523926211
87,99,data\images\img99.jpg,0.7576910052610007,1.127223362917524
288,316,data\images\316.png,0.8775508052173191,1.6222378152870622
147,167,data\images\167.png,0.9271350944843944,1.1572213193114944
240,267,data\images\267.png,0.8081336234108522,1.092948563568799
133,151,data\images\img151.jpg,0.899031101824658,1.072166118595128
52,59,data\images\img59.jpg,0.8753313787944077,1.142765173295967
92,104,data\images\img104.jpg,0.8590104099171535,1.08928265449186
142,160,data\images\img160.jpg,0.8379188216318803,1.1470182501319517
246,273,data\images\273.png,0.9019059460129474,1.0878816002291072
257,284,data\images\284.png,0.9135143336961656,1.0767981242252695
173,194,data\images\194.png,0.7981613478948145,1.1296101399319214
12,14,data\images\img14.jpg,0.9115911920560464,1.2842586739868993
110,125,data\images\img125.jpg,0.8581911362001511,1.2013424900363008
24,26,data\images\img26.jpg,0.9264635727730304,1.075725889950221
249,276,data\images\276.png,0.8425419584230044,1.0785660659468037
3,5,data\images\img5.jpg,0.8903513122030879,1.0869740924024014
205,230,data\images\230.png,0.8136037768375968,1.1155682772080822
66,75,data\images\img75.jpg,0.9021015037808208,1.2437269677509069
57,66,data\images\img66.jpg,0.7250807746722843,1.0573759542788326
102,117,data\images\img117.jpg,0.7807604739646549,1.294703379924529
226,251,data\images\251.png,0.8611358413960373,1.1889342358345292
99,114,data\images\img114.jpg,0.7319083944827101,1.1376452397594936
175,196,data\images\196.png,0.8156279840966484,1.1293549680615271
134,152,data\images\img152.jpg,0.8201171074987841,1.2170616714539046
174,195,data\images\195.png,0.7058577524311898,1.3188503475626452
117,133,data\images\img133.jpg,0.8824937558945157,1.1085821747093536
154,174,data\images\174.png,0.9152940638270036,1.0906134948261206
100,115,data\images\img115.jpg,0.8957370348134851,1.169180570754875
50,57,data\images\img57.jpg,0.9086564507675534,1.1087321326512638
71,80,data\images\img80.jpg,0.8132082790125276,1.2282289641042692
235,261,data\images\261.png,0.9266878386068828,1.2715037292135691
97,111,data\images\img111.jpg,0.8985734074045378,1.295592054211319
198,222,data\images\222.png,0.743813598598456,1.2530558758590074
236,262,data\images\262.png,0.899427991253036,1.211395852381551
244,271,data\images\271.png,0.893910420006304,1.126515430159752
109,124,data\images\img124.jpg,0.8757032951547891,1.1314001037314079
91,103,data\images\img103.jpg,0.7391858472343623,1.1052619686736662
243,270,data\images\270.png,0.905412805370894,1.130466444932199
178,199,data\images\199.png,0.8334805134927052,1.2676033368766209
105,120,data\images\img120.jpg,0.8061505723103042,1.1452927965075403
203,228,data\images\228.png,0.8878606404346789,1.092023585341845
143,161,data\images\img161.jpg,0.8859862250921337,1.1248525971167245
156,176,data\images\176.png,0.8421796964126531,1.1386957851370243
294,324,data\images\324.png,0.8092173874887393,1.349700903047756
170,191,data\images\191.png,0.8843267421002479,1.1524490274531594
264,291,data\images\291.png,0.9033693799723502,1.0714805280638822
128,146,data\images\img146.jpg,0.9052603944186802,1.1516947341579078
114,130,data\images\img130.jpg,0.8518038888704659,1.0810837884434121
187,211,data\images\211.png,0.8466804456033283,1.0747836540701845
283,310,data\images\310.png,0.8889286603922506,1.1242402265740703
90,102,data\images\img102.jpg,0.9003648679667985,1.1781253802883171
192,216,data\images\216.png,0.8457919284198417,1.2478031327057697
4,6,data\images\img6.jpg,0.8774767859599906,1.2847964739702993
21,23,data\images\img23.jpg,0.7137602648684838,1.2109056844378572
267,294,data\images\294.png,0.9015224542882976,1.1031270234016637
196,220,data\images\220.png,0.8835334130078093,1.1958025805463577
23,25,data\images\img25.jpg,0.8165542556786416,1.0930395481058846
233,259,data\images\259.png,0.9510975147672244,1.1286078027765216
31,33,data\images\img33.jpg,0.8897842168229042,1.157270190273909
101,116,data\images\img116.jpg,0.8811746566868321,1.1249946986401913
72,81,data\images\img81.jpg,0.8720396029384971,1.1979814671644935
82,93,data\images\img93.jpg,0.7930084733368123,1.0782380958297348
163,184,data\images\184.png,0.8101874033686195,1.1535136428685189
151,171,data\images\171.png,0.7815823592827037,1.093432719828957
61,70,data\images\img70.jpg,0.7364124950339342,1.2000219643629266
247,274,data\images\274.png,0.8778199977223516,1.0871334467453837
299,330,data\images\330.png,0.8491226037559549,1.1330537888956886
121,137,data\images\img137.jpg,0.8462642121959885,1.378694837888701
172,193,data\images\193.png,0.5912678030360504,1.1564958422614369
297,328,data\images\328.png,0.8879037542917717,1.1226109558858899
219,244,data\images\244.png,0.9001115553050741,1.2482044371838756
78,88,data\images\img88.jpg,0.7024930313482214,1.3913142179800349
14,16,data\images\img16.jpg,0.8911396126389433,1.0869239805336788
123,140,data\images\img140.jpg,0.8690992996602016,1.0478960626237646
183,204,data\images\204.png,0.8421796964126531,1.1220578593397486
250,277,data\images\277.png,0.8697461217763144,1.312032962297137
210,235,data\images\235.png,0.7961142448530882,1.0652973487404314
70,79,data\images\img79.jpg,0.7140566695705197,1.1512172211541496
9,11,data\images\img11.jpg,0.8407311047112732,1.1646788947954532
211,236,data\images\236.png,0.8103335842997043,1.284811464722933
286,314,data\images\314.png,0.8618901448939403,1.1481234045316533
191,215,data\images\215.png,0.84552699678287,1.4133211650397948
220,245,data\images\245.png,0.8977969787140632,1.2139063271638642
64,73,data\images\img73.jpg,0.8943392545072274,1.2465406208382452
62,71,data\images\img71.jpg,0.8788063150927212,1.1832102967838114
157,177,data\images\177.png,0.8276862074923498,1.0857808670560054
43,50,data\images\img50.jpg,0.933814542756874,1.1008098004657068
146,166,data\images\166.png,0.8832867334454253,1.110776683772347
214,239,data\images\239.png,0.8758199399518639,1.0651859602886848
51,58,data\images\img58.jpg,0.9038795777573226,1.0930251441672183
120,136,data\images\img136.jpg,0.8123078953943939,1.2263358604004093
106,121,data\images\img121.jpg,0.9047150658241904,1.2053977453415388
145,165,data\images\img165.jpg,0.6857204235625427,1.1667576764292873
223,248,data\images\248.png,0.8655309841943306,1.2947933696455811
28,30,data\images\img30.jpg,0.8224292023885035,1.2593884297559186
83,95,data\images\img95.jpg,0.8990836796751689,1.070531985423243
248,275,data\images\275.png,0.9040886306232094,1.1748960248397684
269,296,data\images\296.png,0.8931020574006501,1.083198537582624
263,290,data\images\290.png,0.9063002461660168,1.0538691978255077
265,292,data\images\292.png,0.8641854846923432,1.1584310365177326
10,12,data\images\img12.jpg,0.8281500647390099,1.1140859352239962
165,186,data\images\186.png,0.919984597392915,1.2642424110992745
88,100,data\images\img100.jpg,0.7236765780186033,1.272278540166751
73,82,data\images\img82.jpg,0.7715536493727719,1.0964598962266423
282,309,data\images\309.png,0.8859543076550259,1.3484505329131995
98,113,data\images\img113.jpg,0.8656580261036322,1.0733768900950125
122,138,data\images\img138.jpg,0.7874631702384258,1.2146056285407332
32,34,data\images\img34.jpg,0.9219282086889472,1.1391377237558045
89,101,data\images\img101.jpg,0.9326169889462738,1.1600417578320108
153,173,data\images\173.png,0.8186962820880518,1.2648407825774095
239,265,data\images\265.png,0.6826897388152259,1.1444525149797449
224,249,data\images\249.png,0.8410349233194295,1.1226212053205726
237,263,data\images\263.png,0.7834624148005769,1.1944268784023897
256,283,data\images\283.png,0.8677613226858323,1.1197319319405985
34,38,data\images\img38.jpg,0.95196084800214,1.2730143766241744
231,257,data\images\257.png,0.9057947756354756,1.123783896359958
166,187,data\images\187.png,0.8878368845932095,1.0812700109942193
94,106,data\images\img106.jpg,0.8183692849133328,1.0699714951617338
75,84,data\images\img84.jpg,0.7784868820776749,1.4547437278136264
136,154,data\images\img154.jpg,0.8919310544823691,1.135682099582157
280,307,data\images\307.png,0.8941344075604741,1.1338837799254071
27,29,data\images\img29.jpg,0.8741406400609377,1.2611619673426726
149,169,data\images\169.png,0.7834680928242708,1.2107879089059908
67,76,data\images\img76.jpg,0.8718279102730218,1.1013836506794008
18,20,data\images\img20.jpg,0.7545578867438599,1.2219809197895701
185,207,data\images\207.png,0.7547412491878289,1.1816462369190257
86,98,data\images\img98.jpg,0.8021724125246853,1.1022418837135584
242,269,data\images\269.png,0.8749734707164399,1.1088121235846249
107,122,data\images\img122.jpg,0.8296611269431821,1.1212689334146777
69,78,data\images\img78.jpg,0.8767382405872834,1.084875973563606
137,155,data\images\img155.jpg,0.8522272274979621,1.1372605506333096
26,28,data\images\img28.jpg,0.904249056383629,1.069792675563168
274,301,data\images\301.png,0.8757031550065256,1.0786040512152153
7,9,data\images\img9.jpg,0.8129048214941257,1.1489211587529429
230,256,data\images\256.png,0.8054365331763917,1.2109471396768243
81,92,data\images\img92.jpg,0.8954991102405722,1.236878550042696
292,321,data\images\321.png,0.7479499700416747,1.3212738835640854
56,65,data\images\img65.jpg,0.9106511034222295,1.073652575701859
125,142,data\images\img142.jpg,0.8222096333484377,1.1525837435173334
79,90,data\images\img90.jpg,0.9038521255724518,1.0364042987364033
232,258,data\images\258.png,0.8632515700563146,1.225444056460883
84,96,data\images\img96.jpg,0.7865111027359951,1.2332711646728869
152,172,data\images\172.png,0.8883538701954051,1.2673749942696335
68,77,data\images\img77.jpg,0.7235477901415408,1.3086266183966329
15,17,data\images\img17.jpg,0.8482582159605246,1.0488995236491905
200,224,data\images\224.png,0.7359585453116174,1.308107797547735
59,68,data\images\img68.jpg,0.8832781261457662,1.0616820867041332
20,22,data\images\img22.jpg,0.9059663481444707,1.226681317421654
60,69,data\images\img69.jpg,0.8824770082289846,1.2513467549793436
241,268,data\images\268.png,0.8421796964126531,1.103685839041209
158,178,data\images\178.png,0.8685342220563713,1.064113009185788
93,105,data\images\img105.jpg,0.7831507122209279,1.2762597066452177
208,233,data\images\233.png,0.8998950630924859,1.2565957170221291
189,213,data\images\213.png,0.911071972287003,1.162523675310636
138,156,data\images\img156.jpg,0.8564860357874633,1.2036464738712505
278,305,data\images\305.png,0.7273218146148095,1.2194667800088927
39,43,data\images\img43.jpg,0.7689215999708333,1.243604037531332
5,7,data\images\img7.jpg,0.6466877145879175,1.187554864542368
296,327,data\images\327.png,0.892979448142305,1.1760613189507434
164,185,data\images\185.png,0.9138327313015256,1.2330602244602529
261,288,data\images\288.png,0.8922226483577743,1.2817164035165984
295,326,data\images\326.png,0.7565990890964888,1.1239258349548171
49,56,data\images\img56.jpg,0.7280952171043994,1.0781594518097213
177,198,data\images\198.png,0.8145723544762016,1.1136665807310882
162,183,data\images\183.png,0.881626290755246,1.164802800168999
48,55,data\images\img55.jpg,0.8979828592510374,1.226812875571016
215,240,data\images\240.png,0.8421796964126531,1.2403499048863875
168,189,data\images\189.png,0.8512336367517753,1.2075887449184644
251,278,data\images\278.png,0.791170471641719,1.2175991466623897
113,129,data\images\img129.jpg,0.8592295711184856,1.3402977652236132
76,86,data\images\img86.jpg,0.8980181765819503,1.2438832416717778
182,203,data\images\203.png,0.934394038363272,1.0914143277933634
16,18,data\images\img18.jpg,0.9319390827603684,1.097444165901908
213,238,data\images\238.png,0.7008189273822011,1.1227806842612948
221,246,data\images\246.png,0.7552947204245163,1.154820960475334
29,31,data\images\img31.jpg,0.9550988184020052,1.064323386892488
252,279,data\images\279.png,0.8717628013267292,1.2835059633860275
227,253,data\images\253.png,0.8590786784796174,1.1510572843017028
159,180,data\images\180.png,0.7945532561204799,1.2618169534356014
148,168,data\images\168.png,0.885659920605558,1.1154258276209938
112,128,data\images\img128.jpg,0.7833782198511212,1.1189091953444097
245,272,data\images\272.png,0.8421796964126531,1.1664560560986912
216,241,data\images\241.png,0.7459204953781996,1.1332151798533538
65,74,data\images\img74.jpg,0.8385479815061938,1.0881920873971398
45,52,data\images\img52.jpg,0.7850570474437056,1.1006308647359428
270,297,data\images\297.png,0.8198144039879864,1.2226250112122428
188,212,data\images\212.png,0.9199381634802726,1.0987124296944926
1,2,data\images\img2.jpg,0.8081260251391605,1.2288129810257598
63,72,data\images\img72.jpg,0.8924764421918547,1.0610025884734922
193,217,data\images\217.png,0.9186696338197256,1.1107449923660353
169,190,data\images\190.png,0.8606709706705602,1.3159561860188382
127,145,data\images\img145.jpg,0.8741056427166161,1.1550471273588847
202,226,data\images\226.png,0.8512804658016198,1.2114841058408092
44,51,data\images\img51.jpg,0.9267213023924008,1.1622547432711998
212,237,data\images\237.png,0.8854832234941317,1.1578470328343409
268,295,data\images\295.png,0.8849370189096261,1.1615437768135015
276,303,data\images\303.png,0.9275378475053241,1.1526354963341665
273,300,data\images\300.png,0.9213023508411246,1.078386476939093
259,286,data\images\286.png,0.8395265898117172,1.0451171929453404
271,298,data\images\298.png,0.9305783425270541,1.1061387740782431
272,299,data\images\299.png,0.9038061465784916,1.0868760847891512
207,232,data\images\232.png,0.9310602573683024,1.0875525674651914
281,308,data\images\308.png,0.8938840294531637,1.1352954248487883
140,158,data\images\img158.jpg,0.8034350168447796,1.084678980690619
238,264,data\images\264.png,0.8198686473536229,1.189565694272615
229,255,data\images\255.png,0.9004725515852,1.0773597117345974
35,39,data\images\img39.jpg,0.8421796964126531,1.2794067614168758
277,304,data\images\304.png,0.9064068104641052,1.224614603259819
